"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Breda";184069
"Total male and female";"2021";"Breda";184126
"Total male and female";"2010";"Brederwiede";
"Total male and female";"2020";"Brederwiede";
"Total male and female";"2021";"Brederwiede";
"Total male and female";"2010";"Breskens";
"Total male and female";"2020";"Breskens";
"Total male and female";"2021";"Breskens";
"Total male and female";"2010";"Breukelen";14614
"Total male and female";"2020";"Breukelen";
"Total male and female";"2021";"Breukelen";
"Total male and female";"2010";"Breukelen-Nijenrode";
"Total male and female";"2020";"Breukelen-Nijenrode";
"Total male and female";"2021";"Breukelen-Nijenrode";
"Total male and female";"2010";"Breukelen-Sint Pieters";
"Total male and female";"2020";"Breukelen-Sint Pieters";
"Total male and female";"2021";"Breukelen-Sint Pieters";
"Total male and female";"2010";"Brielle";15759
"Total male and female";"2020";"Brielle";17271
"Total male and female";"2021";"Brielle";17439
"Total male and female";"2010";"Broek in Waterland";
"Total male and female";"2020";"Broek in Waterland";
"Total male and female";"2021";"Broek in Waterland";
"Total male and female";"2010";"Broekhuizen";
"Total male and female";"2020";"Broekhuizen";
"Total male and female";"2021";"Broekhuizen";
"Total male and female";"2010";"Broeksittard";
"Total male and female";"2020";"Broeksittard";
"Total male and female";"2021";"Broeksittard";
"Total male and female";"2010";"Bronckhorst";37751
"Total male and female";"2020";"Bronckhorst";36055
"Total male and female";"2021";"Bronckhorst";36087
"Total male and female";"2010";"Brouwershaven";
"Total male and female";"2020";"Brouwershaven";
"Total male and female";"2021";"Brouwershaven";
"Total male and female";"2010";"Bruinisse";
"Total male and female";"2020";"Bruinisse";
"Total male and female";"2021";"Bruinisse";
"Total male and female";"2010";"Brummen";21139
"Total male and female";"2020";"Brummen";20726
"Total male and female";"2021";"Brummen";20884
"Total male and female";"2010";"Brunssum";29448
"Total male and female";"2020";"Brunssum";27821
"Total male and female";"2021";"Brunssum";27670
"Total male and female";"2010";"Budel";
"Total male and female";"2020";"Budel";
"Total male and female";"2021";"Budel";
"Total male and female";"2010";"Buggenum";
"Total male and female";"2020";"Buggenum";
"Total male and female";"2021";"Buggenum";
"Total male and female";"2010";"Bunde";
"Total male and female";"2020";"Bunde";
"Total male and female";"2021";"Bunde";
"Total male and female";"2010";"Bunnik";14459
"Total male and female";"2020";"Bunnik";15191
"Total male and female";"2021";"Bunnik";15341
"Total male and female";"2010";"Bunschoten";20000
"Total male and female";"2020";"Bunschoten";21866
"Total male and female";"2021";"Bunschoten";22019
"Total male and female";"2010";"Buren";25887
"Total male and female";"2020";"Buren";26749
"Total male and female";"2021";"Buren";27009
"Total male and female";"2010";"Burgh";
"Total male and female";"2020";"Burgh";
"Total male and female";"2021";"Burgh";
"Total male and female";"2010";"Bussum";32112
"Total male and female";"2020";"Bussum";
"Total male and female";"2021";"Bussum";
"Total male and female";"2010";"Buurmalsen";
"Total male and female";"2020";"Buurmalsen";
"Total male and female";"2021";"Buurmalsen";
"Total male and female";"2010";"Cadier en Keer";
"Total male and female";"2020";"Cadier en Keer";
"Total male and female";"2021";"Cadier en Keer";
"Total male and female";"2010";"Cadzand";
"Total male and female";"2020";"Cadzand";
"Total male and female";"2021";"Cadzand";
"Total male and female";"2010";"Callantsoog";
"Total male and female";"2020";"Callantsoog";
"Total male and female";"2021";"Callantsoog";
"Total male and female";"2010";"Capelle aan den IJssel";65345
"Total male and female";"2020";"Capelle aan den IJssel";67122
"Total male and female";"2021";"Capelle aan den IJssel";67319
"Total male and female";"2010";"Castricum";34652
"Total male and female";"2020";"Castricum";35986
"Total male and female";"2021";"Castricum";36086
"Total male and female";"2010";"Chaam";
"Total male and female";"2020";"Chaam";
"Total male and female";"2021";"Chaam";
"Total male and female";"2010";"Clinge";
"Total male and female";"2020";"Clinge";
"Total male and female";"2021";"Clinge";
"Total male and female";"2010";"Coevorden";36121
"Total male and female";"2020";"Coevorden";35297
"Total male and female";"2021";"Coevorden";35317
"Total male and female";"2010";"Cothen";
"Total male and female";"2020";"Cothen";
"Total male and female";"2021";"Cothen";
"Total male and female";"2010";"Cranendonck";20343
"Total male and female";"2020";"Cranendonck";21138
"Total male and female";"2021";"Cranendonck";21001
"Total male and female";"2010";"Cromstrijen";12818
"Total male and female";"2020";"Cromstrijen";
"Total male and female";"2021";"Cromstrijen";
"Total male and female";"2010";"Cuijk";24433
"Total male and female";"2020";"Cuijk";25130
"Total male and female";"2021";"Cuijk";25404
"Total male and female";"2010";"Cuijk en Sint Agatha";
"Total male and female";"2020";"Cuijk en Sint Agatha";
"Total male and female";"2021";"Cuijk en Sint Agatha";
"Total male and female";"2010";"Culemborg";27501
"Total male and female";"2020";"Culemborg";28955
"Total male and female";"2021";"Culemborg";29121
"Total male and female";"2010";"Dalen";
"Total male and female";"2020";"Dalen";
"Total male and female";"2021";"Dalen";
"Total male and female";"2010";"Dalfsen";27259
"Total male and female";"2020";"Dalfsen";28587
"Total male and female";"2021";"Dalfsen";28901
"Total male and female";"2010";"Dantumadeel";
"Total male and female";"2020";"Dantumadeel";
"Total male and female";"2021";"Dantumadeel";
"Total male and female";"2010";"Dantumadiel";19283
"Total male and female";"2020";"Dantumadiel";18922
"Total male and female";"2021";"Dantumadiel";18943
"Total male and female";"2010";"Deil";
"Total male and female";"2020";"Deil";
"Total male and female";"2021";"Deil";
"Total male and female";"2010";"Delft";96760
"Total male and female";"2020";"Delft";103595
"Total male and female";"2021";"Delft";103581
"Total male and female";"2010";"Delfzijl";26635
"Total male and female";"2020";"Delfzijl";24678
"Total male and female";"2021";"Delfzijl";
"Total male and female";"2010";"Denekamp";
"Total male and female";"2020";"Denekamp";
"Total male and female";"2021";"Denekamp";
"Total male and female";"2010";"Deurne";31526
"Total male and female";"2020";"Deurne";32471
"Total male and female";"2021";"Deurne";32437
"Total male and female";"2010";"Deventer";98523
"Total male and female";"2020";"Deventer";100719
"Total male and female";"2021";"Deventer";101236
"Total male and female";"2010";"Didam";
"Total male and female";"2020";"Didam";
"Total male and female";"2021";"Didam";
"Total male and female";"2010";"Diemen";24685
"Total male and female";"2020";"Diemen";30780
"Total male and female";"2021";"Diemen";31334
"Total male and female";"2010";"Diepenheim";
"Total male and female";"2020";"Diepenheim";
"Total male and female";"2021";"Diepenheim";
"Total male and female";"2010";"Diepenveen";
"Total male and female";"2020";"Diepenveen";
"Total male and female";"2021";"Diepenveen";
"Total male and female";"2010";"Diessen";
"Total male and female";"2020";"Diessen";
"Total male and female";"2021";"Diessen";
"Total male and female";"2010";"Diever";
"Total male and female";"2020";"Diever";
"Total male and female";"2021";"Diever";
"Total male and female";"2010";"Dinkelland";26058
"Total male and female";"2020";"Dinkelland";26461
"Total male and female";"2021";"Dinkelland";26606
"Total male and female";"2010";"Dinteloord en Prinsenland";
"Total male and female";"2020";"Dinteloord en Prinsenland";
