id;weight;micro;micro_num;ripeness;ripeness_num;cleaning;cleaning_num;temp;temp_cat;fresh;fresh_num;fat;fat_cat;price100g;price_cat;finalscore;top10;outsidetop10;A_d;k30;yr2017;our_unique_id
107;79;Very good;1;Average;2;Very good;1;1.7;1;Freshly prepared;1;11.1;2;2.84;2;15.5;0;1;0;1;1;17_040
108;61;Very good;1;Average;2;Very good;1;4.6;1;Freshly prepared;1;14.0;3;3.19;2;15.5;0;1;0;1;0;16_045
109;51;Very good;1;Average;2;Very good;1;9.7;2;Freshly prepared;1;9.5;1;4.6;3;15.5;0;1;0;1;1;17_038
110;74;Very good;1;Average;2;Poor;3;5.1;1;Freshly prepared;1;11.1;2;2.83;1;14.5;0;1;0;1;0;16_069
111;72;Very good;1;Average;2;Very good;1;8.4;2;Freshly prepared;1;15.4;3;2.7;1;15.5;0;1;0;1;1;17_036
112;67;Very good;1;Average;2;Very good;1;9.5;2;Not freshly prepared;0;10.3;2;2.76;1;14.5;0;1;0;1;1;17_064
113;53;Very good;1;Mild;1;Very good;1;12.1;3;Not freshly prepared;0;15.8;3;4.24;3;15.0;0;1;0;0;1;17_049
114;61;Very good;1;Strong;3;Good;2;6.8;1;Freshly prepared;1;13.6;2;2.95;2;14.5;0;1;0;1;0;16_071
115;76;Very good;1;Average;2;Very good;1;5.9;1;Freshly prepared;1;13.5;2;2.82;1;16.0;0;1;0;0;1;17_032
116;64;Very good;1;Average;2;Good;2;3.6;1;Not freshly prepared;0;7.8;1;4.29;3;9.5;0;1;0;1;1;17_126
117;60;Very good;1;Strong;3;Poor;3;10.2;3;Not freshly prepared;0;11.8;2;3.25;2;8.5;0;1;0;1;0;16_127
118;72;Bad;3;Groen;1;Good;2;-1.8;1;Freshly prepared;1;15.9;3;3.04;2;15.0;0;1;0;1;1;17_048
119;68;Very good;1;Strong;3;Bad;4;7.9;2;Not freshly prepared;0;9.1;1;3.3;2;9.0;0;1;0;1;1;17_130
120;76;Very good;1;Average;2;Poor;3;6.0;1;Not freshly prepared;0;9.9;1;1.97;1;15.0;0;1;0;1;1;17_057
121;56;Very good;1;Strong;3;Poor;3;8.9;2;Freshly prepared;1;14.2;3;3.57;3;13.0;0;1;0;1;0;16_083
122;61;Very good;1;Average;2;Good;2;4.7;1;Freshly prepared;1;7.7;1;3.19;2;15.5;0;1;0;1;1;17_042_16_046
123;62;Very good;1;Strong;3;Good;2;7.9;2;Not freshly prepared;0;7.5;1;3.38;2;11.5;0;1;0;1;0;16_106
124;51;Alarm signal;4;Strong;3;Good;2;10.3;3;Freshly prepared;1;12.0;2;3.82;3;12.0;0;1;0;0;0;16_093
125;59;Very good;1;Mild;1;Poor;3;6.8;1;Freshly prepared;1;10.7;2;3.38;2;15.0;0;1;0;1;1;17_061
126;78;Good;1;Average;2;Very good;1;7.4;2;Not freshly prepared;0;13.9;2;3.52;3;13.5;0;1;0;1;1;17_083
127;65;Very good;1;Average;2;Very good;1;1.1;1;Freshly prepared;1;11.7;2;3.46;2;16.3;0;1;0;0;1;17_019
128;73;Very good;1;Average;2;Very good;1;7.1;2;Freshly prepared;1;10.1;2;3.42;2;14.5;0;1;0;1;1;17_063
129;63;Very good;1;Rotten;4;Good;2;8.5;2;Not freshly prepared;0;11.7;2;1.17;1;7.5;0;1;0;1;0;16_141
130;85;Very good;1;Average;2;Good;2;5.8;1;Freshly prepared;1;12.4;2;2.47;1;14.5;0;1;0;1;1;17_068
131;67;Very good;1;Average;2;Poor;3;5.7;1;Freshly prepared;1;10.8;2;2.98;2;15.0;0;1;0;0;0;16_058
132;51;Good;1;Average;2;Very good;1;5.3;1;Freshly prepared;1;14.3;3;3.82;3;15.5;0;1;0;1;0;16_047
133;74;Good;1;Strong;3;Poor;3;9.1;2;Not freshly prepared;0;11.9;2;3.37;2;11.0;0;1;0;1;1;17_114
